Name,Address,Suburb,Postcode,Latitude,Longtitude
Griffiths University Gold Coast Student Guild,"Griffith University, Parklands Drive, The Link Building, Gold Coast Campus",Southport,4215,-27.964655,153.38091
Holland Park News,Shop 1/109 Seville Road,Holland Park,4121,-27.521684,153.07407
IGA Acacia Ridge,"28 Elizabeth St, Acacia Ridge",Acacia Ridge,4110,-27.590346,153.02729
IGA East Brisbane,33 Lytton Road,East Brisbane,4169,-27.479564,153.04265
IGA Greenslopes ,620 Logan Road ,Greenslopes,4120,-27.50823,153.05203
IGA New Farm ,572 Brunswick Street ,New Farm ,4005,-27.461821,153.03966
IGA Cleveland ,Shore Street West and Wellington Road,Cleveland ,4163,-27.523448,153.25517
Inala Plaza News,"Shop 4, Inala Civic Centre, Corsair Avenue",Inala,4077,-27.597539,152.9736
Infinity News Underwood,3215 Logan Road,Underwood,4119,-27.606091,153.10953
Jindalee News Stationers,"5/86 Curragundi Road, Jindalee",Jindalee,4074,-27.534688,152.93517
Junction News and Casket,492 Ipswich Road,Annerley ,4103,-27.510667,153.03261
Kallangur Fair News,Kallangur Fair Shopping Centre Shop 1 & 2 1473 Anzac Ave ,Kallangur,4503,-27.251317,152.99924
Kallangur News,1406 Anzac Ave,Kallangur,4503,-27.250223,152.99363
Kedron Newsagency & Casket Shop,359 Gympie Road (cnr Castle Road),Kedron,4031,-27.404369,153.03233
Kelvin Grove News & Post Office,"Victoria Park Road, QUT (C block)",Kelvin Grove,4059,-27.451146,153.01509
Kenmore News & Casket,"2060 Moggill Road, Kenmore",Kenmore,4069,-27.509952,152.93839
Manly Harbour Newsagency,"Shop 12, 222 Stratton Terrace",Manly,4179,-27.454643,153.18578
Mary Ryan Bookstore,"40 Park Road, Milton",Milton,4064,-27.471379,153.00517
Mary Street News,"Shop 4, 100 Edward Street ",Brisbane (city),4000,-27.470639,153.02874
Merthyr Road News,3/84 Merthyr Road ,New Farm ,4005,-27.467146,153.04579
Metro News On First,"Indooroopilly Shopping Centre, Level 1, 322 Moggill Road",Indooroopilly,4068,-27.499611,152.97264
Middle Park News and Gifts,"Shop 27-28 Park Village Shops, Middle Park",Middle Park,4074,-27.55543,152.9227
Milton News Centre,"Shop 3, Milton Shopping Centre, Baroona Road",Milton,4064,-27.468045,153.0021
Mineral House News,41 George Street,Brisbane (city),4000,-27.47358,153.02655
Moorvale News,186 Beaudesert Road,Moorooka,4105,-27.532592,153.02506
Morningside Central News,"Shop 11, 25 Junction Road",Morningside,4170,-27.465976,153.08007
Mt Gravatt News,1488 Logan Road,Mt Gravatt ,4122,-27.536508,153.07816
Nextra Gumdale,"Shop 4, 696 New Cleveland Road",Gumdale,4154,-27.490327,153.15249
NewsXpress Arana Hills,Shop 13B Kmart Plaza Cnr Patricks Road,Arana Hills,4054,-27.398801,152.95905
NewsXpress North Lakes ,103/53 Endeavour Blvd,North Lakes ,4509,-27.238383,153.01562
NewsXpress The Gap,"The Gap Village, 1000 Waterworks Road",The Gap,4061,-27.446135,152.9525
Nextra Booval News,Shop 51-53 Booval Fair Shopping Centre ,Booval ,4304,-27.615647,152.78944
Nextra Brook News and Casket,"Brookside Shopping Centre, Shop 90, Osbourne Road ",Mitchelton ,4053,-27.409154,152.97937
Nextra Browns Plains ,"Grand Plaza Shopping Centre, 27-49 Browns Plains Road",Browns Plains,4124,-27.662644,153.04097
Nextra Cannon Hill,"K-Mart Plaza, Creek Road",Cannon Hill,4170,-27.471339,153.0981
Nextra Carindale City News,"Lower level Westfield Carindale, 1151 Creek Road",Carindale,4152,-27.502998,153.10163
Nextra Express Chermside,Shop 192 Westfield Chermside,Chermside,4032,-27.384703,153.03206
Nextra Garden City Lower level,Shop 1358 Westfield Garden City,Upper Mt Gravatt ,4122,-27.564293,153.08381
Nextra General Hospital News,"Ned Hanlon Building, Royal Brisbane Hospital",Herston,4006,-27.446713,153.02875
Nextra Kippa-Ring News,27/284 Anzac Ave,Kippa Ring ,4021,-27.231267,153.1143
Nextra Orion Newsagency,"Shop 29, 1 Main Street Orion Springfield",Springfield,4300,-27.67711,152.90299
Nextra Peninsula Fair News,"Shop K4, Peninsula Fair Shopping Centre, Anzac Avenue",Kippa Ring,4021,-27.225752,153.088
Nextra Strathpine ,"Shop 36-37,  295 Gympie Road",Strathpine ,4055,-27.30726,152.99238
Nextra Toombul,Sandgate Road,Toombul,4012,-27.409059,153.06163
Nextra Wynnum Plaza,"Shop 20, Wynnum Plaza, Wynnum Road",Wynnum,4178,-27.456747,153.15581
Night Owl Convenience Store New Farm,660 Brunswick Street,New Farm,4005,-27.463144,153.04153
NightOwl Brisbane ,65 Adelaide Street ,Brisbane ,4000,-27.46932,153.02408
NightOwl Mermaid Beach,2375 Gold Coast Highway,Mermaid Beach ,4218,-28.050128,153.43662
NightOwl Milton,22 Railway Tce ,Milton,4064,-27.46921,153.00605
NightOwl Surfers Paradise,3031 Surfers Paradise Blvd,Surfers Paradise,4217,-28.005352,153.42913
Norman Park Central News,Shop 1/183 Bennetts Road,Norman Park,4170,-27.483586,153.06468
Nottingham Road News,"Shop 8, 2605 Beaudesert Road",Calamvale,4116,-27.630641,153.04587
Oxford Street News,134 Oxford Street,Bulimba,4171,-27.450989,153.05825
Paddington News ,"Shop 5, 95 Latrobe Terrace",Paddington,4064,-27.458964,152.99832
Park Ridge News,Park Ridge Shopping Village corner Mt Lindesay Hwy and Park Ridge Road,Park Ridge,4125,-27.696778,153.03892
Pinkeys Convenience Store ,"17 Zillman Road, Hendra",Clayfield,4011,-27.422308,153.06375
QUT Student Guild Gardens Point,"2 George Street, QUT, Gardens Point campus (L block)",Brisbane (city),4000,-27.477356,153.02842
Redland Bay News ,"Shop 29, Redland Bay Shopping Centre, Broadwater Terrace ",Redland Bay,4165,-27.612128,153.30224
Riding Road News,63 Riding Road,Hawthorne,4171,-27.466548,153.06481
Rochedale News,"549 Underwood Road, Rochedale",Rochedale,4123,-27.59653,153.12486
Rode Newsagency,"Rode Shopping Centre, Cnr Appleby & Roade Road",Stafford Heights ,4053,-27.39245,153.01203
Rothwell News,Shop 8/455 Anzac Ave,Rothwell,4022,-27.218214,153.06257
Russell Island Licensed Post Office,69 High Street,Russell Island,4184,-27.648288,153.38148
South Bank Beach News,"Stanley Street Plaza, Stanley Street",South Bank,4101,-27.478627,153.0229
SPAR Express Eight Mile Plains,5/218 Padstow Road,Eight Mile Plains,4113,-27.574639,153.08683
Springfield Fair News,Springfield Fair Shopping Centre ,Springfield,4300,-27.653005,152.9184
Springwood Mall Newsagency ,"Shop 9, Centro Shopping Centre, Fitzgerald Avenue",Springwood,4127,-27.614058,153.12679
St Lucia News,217 Hawken Drive,St Lucia,4067,-27.502579,153.00588
Stafford City News,"Stafford City Shopping Centre, 400 Stafford Road",Stafford,4053,-27.411309,153.01239
Sunshine News,"Shop 15, Mt Gravatt Plaza",Mt Gravatt,4122,-27.539183,153.08253
Supanews Keperra,"Settlement Road, Great Western Super Centre",Keperra,4054,-27.415981,152.94988
Supanews Xpress,"Central station (platform 5/6), Ann Street ",Brisbane (city),4000,-27.465669,153.02593
Supanews Xpress Helensvale,Helensvale Westfield Shopping Centre,Helensvale,4212,-27.927273,153.33581
Taigum News,"Shop 28, Taigum Central Shopping Centre, Beams Road",Taigum,4018,-27.351025,153.04863
Target News,"Shop 2 Buranda Village, 205 Ipswich Road",Woolloongabba,4102,-27.501082,153.03678
Terry White Chemist Bellbowrie ,"Shop 29, Bellbowrie Plaza, 37 Birkin Road",Bellbowrie,4070,-27.562891,152.88826
Tewantin Newsagency,107 Poinciana Avenue,Tewantin,4565,-26.392066,153.03843
The HUB ,Gold Coast Airport Eastern Drive ,Bilinga,4225,-28.165645,153.50907
Town Centre News,"Town Centre Shopping Centre, 355-369 Colburn Avenue",Victoria Point,4165,-27.58651,153.28445
TSG Mango Hill,Shop 12/1-21 Halpine Drive,Mango Hill,4509,-27.589742,153.08654
Warrigal Square News ,"Warrigal Square Shopping Centre, 15/261 Warrigal Road ",Eight Mile Plains,4113,-27.589964,153.08624
West End News,199 Boundary Street,West End,4101,-27.480751,153.01186
Wirreanda Newsagency,110 King Street,Buderim,4556,-26.683887,153.06612
Gold Coast Tourist Shuttle,PO Box 3036 ,Robina,4230,-28.0637,153.40404
Ashmore Newsextra,"160 Cotlew Street, Ashmore Plaza",Ashmore,4214,-27.987229,153.38411
Australia Post Office Coopers Plains ,7/896 Boundary Road ,Coopers Plains,4108,-27.570007,153.03614
Banyo News and Officesmart,276 St Vincents Road,Banyo,4014,-27.37451,153.07781
Biota Street News,155 Biota Street,Inala,4077,-27.587409,152.97284
Bli Bli News,"Shop 5, River Markets, David Low Way",Bli Bli,4560,-26.621848,153.0423
Blunder Road Newsagency,146 Blunder Road,Oxley,4075,-27.575434,152.98328
Bond University Bookshop,"Shop 5-6, Commercial Centre, Bond University",Robina,4229,-28.073659,153.41701
BP Cooroy Supermart,28 Elm Street,Cooroy,4563,-26.418233,152.91188
BP Yandina Foodshop,24 Farrell Street,Yandina,4561,-26.559982,152.95665
Broadbeach Oasis News ,G0.35 Oasis on Broadbeach Victoria Avenue ,Broadbeach,4218,-28.029892,153.43234
Buderim Foodworks,60 Burnett Street ,Buderim,4556,-26.686414,153.04955
Burpengary Newsagency ,"Shop 22 Burpengary Plaza, Station Road",Burpengary,4505,-27.154035,152.97427
Campus Bookshop Griffith University Gold Coast ,The Link Building (G07) Griffith University Gold Coast Campus ,Southport,4215,-27.960053,153.37887
Central Plaza News ,59 Wembley Road ,Logan Central,4114,-27.643085,153.11263
Chapel Hill,8/620 Moggill Rd,Chapel Hill,4069,-27.505852,152.96071
Chatswood Hills News,"Shop 34 Chatswood Central, Chatswood Rd",Springwood,4127,-27.633023,153.13779
Chevron 7 Day Express Food Store,46 Thomas Drive,Surfers Paradise,4217,-27.998198,153.41936
Chris Supa IGA,881 Old Cleveland Road,Carina,4152,-27.496226,153.09482
Christine Corner,5/221 Christine Avenue,Varsity Lakes,4227,-28.085385,153.42483
Clock Corner Convenience Store & Take-away,13/521 Beams Rd,Carseldine,4034,-27.3482,153.028
Collingwood Park News,"Shop 1, Redbank Plaza Shopping Centre, Collingwood Drive",Redbank,4301,-27.6059,152.868
Colonial Village 4 Espresso 351,351 Beams Road ,Zillmere,4034,-27.350306,153.04126
Cribb Street News ,6/23 Cribb Street,Milton,4064,-27.469402,153.00825
Currimundi News,Cnr Nicklin Way and Bellara Drive,Currimundi,4551,-26.773831,153.1243
Currumbin Creek Newsagency,52 Currumbin Creek Road,Currumbin,4223,-28.144164,153.47252
Daisy Hill News,"Shop 7, Cnr Daisy Hill Rd and Cupania Street",Daisy Hill ,4127,-27.642944,153.15371
Dockside Convinence Store,"Shop 5, 35 Ferry Street",Kangaroo Point,4169,-27.472558,153.03896
Earls Court Serviced Apartments,131-133 Nerang Street,Southport,4215,-27.971273,153.40699
Enoggera Newsagency,"Shop 2B, 318 Wardell Street",Enoggera,4051,-27.422652,152.99032
Eumundi Village Pharmacy,1 / 2 - 6 Ethridge Street,Eumundi,4562,-26.475572,152.95065
Ferny Hills News & Casket,"Shop 11, 126 Ferny Way",Ferny Hills,4055,-27.4003,152.939
Foodstore Mermaid Beach,Shop 4/ 2527 Gold Coast Hwy,Mermaid Beach,4218,-28.040764,153.43422
Foodworks Heathwood,137 Parkwood Drive,Heathwood,4078,-27.637003,152.987
Foodworks Salisbury,Shop 4 / 660 Toohey Road,Salisbury,4107,-27.545804,153.03949
Four Square ,18 Cracknell Road,Annerley,4103,-27.518339,153.03014
Friendly Grocer Broadbeach,"Shop 10, Belair Retail Centre, Gold Coast Highway,Broadbeach",Broadbeach,4218,-28.035828,153.43195
Friendly Grocer Ormiston,Shop 1  116 Wellington Street,Ormiston ,4160,-27.696258,153.0831
Gatton Plaza Newsagency ,7/8 Plaza Shopping Centre Spencer St,Gatton,4343,-27.558271,152.27953
Given Terrace Newsagency,Shop 1/209 Given Terrace,Paddington,4064,-27.4616,153.006
Gold Coast Tourism Information Desk,"Gold Coast Airport, Eastern Avenue",Bilinga,4225,-28.165616,153.50904
Gold Coast Tourism Visitor Information Booth ,2 Cavill Avenue,Surfers Paradise,4217,-28.001854,153.42917
Greenbank Plaza News,"Shop 3, 15 Pub Lane",Greenbank,4124,-27.7383,152.983
H I S Australia Pty LTd,141 Queen Street ,Brisbane ,4000,-27.469672,153.02569
Helensvale Railway Kiosk,Town Centre Drive ,Helensvale ,4212,-27.925426,153.33838
IGA Express Woolloongabba,14 Annerley Road,Woolloongabba,4102,-27.487103,153.02951
IGA Springfield Lakes ,31/22 Springfield Lakes Boulevard,Springfield,4300,-27.668088,152.92054
IGA Forest Lake,Corner Forest Lake Boulevard and Woogaroo Street,Forest Lake,4078,-27.6112,152.959
Japan Australian Travel Services ,35 Bailey Crescent ,Southport,4215,-27.970434,153.38959
Kallangur Fair News,1473 Anzac Avenue,Kallangur,4503,-27.2501,152.999
Jimboomba Newsxpress,Shop 10 Junction Shopping Centre,Jimboomba,4208,-27.83064,153.02674
Keerbra Park State High School,Anne Street,Southport,4215,-27.984797,153.39967
Lockyer Valley Tourist Information Centre,Lake Apex Drive,Gatton,4343,-27.570008,152.27089
Lucky 7 Broadwater,5 Nind Street,Southport,4215,-27.963547,153.41328
Lucky 7 Circle,3184 Surfers Paradise Blvd,Surfers Paradise,4217,-28.001244,153.427
Lucky 7 Edward Street,"Shop 2, 160 Edward Street",Brisbane,4000,-27.469461,153.02786
Lucky 7 SPC Mini Mart ,56 Scarbrough Street,Southport,4215,-27.969998,153.41448
Lucky 7 View ,Shop 38G  3221 Surfers Paradise Blv,Surfers Paradise,4217,-27.998344,153.42915
MacGregor News,"Shop 14-15 Sunny Park Shopping Centre, 342 McCullough Street ",MacGregor,4169,-27.570937,153.06488
Macleay Island Post Office ,36 Southsea Terrace ,MacLeay Island ,4184,-27.629973,153.3647
Margate News & Casket,Shop 5/266 Oxley Ave,Margate,4019,-27.244782,153.10703
Matilda Broadbeach,75 T.E. Peter's Drive ,Broadbeach,4218,-28.026559,153.42063
Midway News & Casket,"Shop 2, 544 Oxley Avenue",Redcliffe,4020,-27.2173,153.112
Moorooka Foodstore & News ,419 Beadesert Road,Moorooka,4105,-27.542775,153.02037
Mountain View News,967 Logan Road,Holland Park,4121,-27.5197,153.061
Murrarrie Newsagency ,Shop 2 2 Queensport Road ,Murrarrie,4172,-27.464363,153.10455
Murrumba News & Giftware,"Shop 11, Murrumba Downs Shopping Centre",Murrumba Downs ,4503,-27.272322,153.0166
Narangba Valley News,"Shop 6, 212 Young Road",Narangba,4504,-27.173203,152.93689
Nerang Mall News ,17/7-29 Cauyuga Street ,Nerang,4211,-27.99986,153.33856
Newmarket Post Office,"Shop 123, 400 Newmarket Road",Newmarket,4051,-27.4371,153.007
Nambour News and Casket,"Centenary Square, Currie St",Nambour,4560,-26.6278,152.959
NewsXpress Alexandra Hills,"Shop 9, Alexandra Hills Shopping Centre",Alexandra Hills,4161,-27.5246,153.221
Newsxpress Coomera,"Shop 8, 133 Finnegan Way",Coomera,4209,-27.840536,153.32958
NewsXpress Gatton,6/6 Railway Street,Gatton,4343,-27.555952,152.27784
NewsXpress Inala ,56/156 Inala Ave,Inala,4077,-27.597998,152.97409
NewsXpress Noosa Heads,"Shop 18, 20 Hastings Street",Noosa Heads,4567,-26.386584,153.08913
Narangba Licensed Post Office,"Shop 15, 36 Main Street",Narangba,4504,-27.202446,152.95907
News Extra Capalaba ,"Shop 79 Capalaba Shopping Centre, 38-62 Moreton Bay Rd, ",Capalaba,4157,-27.524667,153.19533
NewsXpress Robina Town Centre Level 2,Shop 2018 Level 2 Robina Town Centre,Robina ,4230,-28.077289,153.3853
NewsXpress Stones Corner ,16/405 Logan Rd,Greenslopes,4120,-27.500295,153.04536
NewsXpress Inala ,"Shop 56, Inala Plaza, 156 Inala Avenue",Inala,4077,-27.597991,152.97411
NewsXpress North Lakes,Cnr Lakefield Drive and Endeavour Blvd,North Lakes,4509,-27.238382,153.01532
NewsXpress Southport Park,"Shop 20, Southport Park Shopping Centre, Ferry Road",Southport,4215,-27.985731,153.40987
Nextra Kenmore Village News,"Shop 50, Kenmore Village, Brookfield Road",Kenmore,4069,-27.506681,152.93931
Nextra Manly West,669 Manly Road ,Manly West ,4179,-27.474816,153.15589
Nextra Riverlink News,"Shop 64, Riverlink Shopping Centre Cnr Pine St & The Terrace",North Ipswich,4305,-27.608385,152.75984
Night Owl West End,"Shop 1, 158 Boundary St",West End,4101,-27.4814,153.012
Nobby Beach Newsagency,"Shop 1, 2239 Gold Coast Highway",Mermaid Beach,4218,-28.058344,153.4385
Noosa Village News,"Shop 12, Noosa Village Shopping Centre, Gibson Road",Noosaville,4566,-26.401074,153.06516
Norfolk News,"Norfolk Village Shopping Centre, 174-178 Pascoe Road",Ormeau,4208,-27.763313,153.24504
Northgate News,111 Ridge Street,Northgate,4013,-27.39026,153.06581
Night Owl Highgate Hill,"Shop 2, 34 B Gladstone Road",Highgate Hill,4101,-27.484561,153.01996
Oxley Licensed Post Office ,130 Oxley Station Road,Oxley,4075,-27.553399,152.97368
Pacific News & Casket,"4 Bulcock Street, Caloundra QLD",Caloundra,4551,-26.805191,153.13556
Palm Beach Newsagency,"Shop 5A, 10 Fifth Avenue",Palm Beach,4221,-28.122241,153.47234
Pitstop Friendly Grocer,Shop 2/31 Aubrey St,Surfers Paradise ,4217,-28.011211,153.42993
Quik Stop mini mart and news,2/1 Hospital Boulevard,Southport,4215,-27.959227,153.38234
Rosewood News,12 John Street,Rosewood,4340,-27.641864,152.59309
Round Table Coffee,Shop 3 67 Gawain Road,Bracken Ridge,4017,-27.315173,153.0327
Sherwood News & Casket Agency,"Shop 4, 686 Sherwood Road",Sherwood,4075,-27.532474,152.98101
SPAR Express Marsden,Shop 7 Cnr McCarthy & Third Ave ,Marsden,4132,-27.244051,152.98342
St Lucia Supermarket,185  Sir Fred Schonell Drive,St Lucia,4067,-27.494754,153.00264
Supanews Bracken Ridge ,Bracken Ridge Plaza Shopping Centre,Bracken Ridge,4017,-27.330062,153.02673
Surfside Newsagency,10 North Street Woorim,Bribie Island,4507,-27.068292,153.2034
Tarragindi LPO and News,100 Windmill Street ,Tarragindi,4121,-27.53057,153.04217
Terrace News,"Morris Towers, 149 Wickham Terrace ",Spring Hill,4004,-27.464527,153.0252
The Co-op Bookshop GU Mt Gravatt,Messines Ridge Rd,Mt Gravatt,4122,-27.552706,153.05425
The Lucky Charm Everton Park,97 Flockton Street ,Everton Park,4053,-27.394177,152.99673
The Lucky Charm Holmview,"Shop 15, 19 Main St",Samford Village ,4520,-27.711046,153.16148
The Lucky Charm Noosaville ,28 Eenie Creek Road ,Noosaville,4566,-26.41543,153.04828
The Pines News & Gifts ,"Shop 29 The Pines Shopping Centre, Guineas Creek Road",Elanora,4221,-28.134511,153.46857
The Uni Store (Gold Coast),G07 The Link Griffith University Gold Coast ,Southport,4215,-27.961855,153.38044
Ticketmates Australia ,34/46 Cavill Ave ,Surfers Paradise ,4217,-28.002152,153.42707
